best_x,best_y,best_combined,pairs_lt_80,pairs_lt_90,pairs_lt_95,pairs_lt_98,pairs_lt_100,cost_10,slip_10,cost_50,slip_50,cost_100,slip_100,cost_250,slip_250,ts,asset,combo,secs_to_close,kalshi_ticker,okx_inst
0.32,0.8,1.12,0.0,0.0,0.0,0.0,0.0,1.2946,17.46,1.3061,18.61,1.3076,18.76,1.3084,18.84,2026-09-21T11:05:18+00:00,BTC,A,581,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.69,0.36,1.05,0.0,0.0,0.0,0.0,0.0,1.5405,49.05,1.6403,59.03,1.6596,60.96,1.6713,62.13,2026-09-21T11:05:18+00:00,BTC,B,581,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.41,0.99,1.4,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.4,0.0,1.4,0.0,1.4,0.0,2026-09-21T11:05:18+00:00,ETH,A,581,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.61,0.99,1.6,0.0,0.0,0.0,0.0,0.0,1.6,0.0,1.6,0.0,1.6,0.0,1.6007,0.07,2026-09-21T11:05:18+00:00,ETH,B,581,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.35,0.76,1.11,0.0,0.0,0.0,0.0,0.0,1.3413,23.13,1.3657,25.57,1.3688,25.88,1.3707,26.07,2026-09-21T11:05:18+00:00,SOL,A,581,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.66,0.45,1.11,0.0,0.0,0.0,0.0,0.0,1.2585,14.85,1.5504,44.04,1.6012,49.12,1.6317,52.17,2026-09-21T11:05:18+00:00,SOL,B,581,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.23,0.87,1.1,0.0,0.0,0.0,0.0,0.0,1.2116,11.16,1.2175,11.75,1.2183,11.83,1.2187,11.87,2026-09-21T11:05:39+00:00,BTC,A,560,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.78,0.27,1.05,0.0,0.0,0.0,0.0,0.0,1.6215,57.15,1.7285,67.85,1.7487,69.87,1.7609,71.09,2026-09-21T11:05:39+00:00,BTC,B,560,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.3,0.99,1.29,0.0,0.0,0.0,0.0,0.0,1.29,0.0,1.29,0.0,1.29,0.0,1.29,0.0,2026-09-21T11:05:39+00:00,ETH,A,560,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.71,0.99,1.7,0.0,0.0,0.0,0.0,0.0,1.7,0.0,1.7045,0.45,1.7072,0.72,1.7129,1.29,2026-09-21T11:05:39+00:00,ETH,B,560,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.26,0.93,1.19,0.0,0.0,0.0,0.0,0.0,1.2551,6.51,1.2606,7.06,1.2613,7.13,1.2671,7.71,2026-09-21T11:05:39+00:00,SOL,A,560,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.75,0.28,1.03,0.0,0.0,0.0,0.0,0.0,1.3315,30.15,1.637,60.7,1.6895,65.95,1.721,69.1,2026-09-21T11:05:39+00:00,SOL,B,560,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.21,0.88,1.09,0.0,0.0,0.0,0.0,0.0,1.1928,10.28,1.1978,10.78,1.1984,10.84,1.1988,10.88,2026-09-21T11:06:01+00:00,BTC,A,538,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.8,0.27,1.07,0.0,0.0,0.0,0.0,0.0,1.6415,57.15,1.7485,67.85,1.7687,69.87,1.7809,71.09,2026-09-21T11:06:01+00:00,BTC,B,538,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.28,0.99,1.27,0.0,0.0,0.0,0.0,0.0,1.27,0.0,1.27,0.0,1.27,0.0,1.27,0.0,2026-09-21T11:06:01+00:00,ETH,A,538,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.73,0.99,1.72,0.0,0.0,0.0,0.0,0.0,1.72,0.0,1.7236,0.36,1.7268,0.68,1.7321,1.21,2026-09-21T11:06:01+00:00,ETH,B,538,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.16,0.999,1.159,0.0,0.0,0.0,0.0,0.0,1.159,0.0,1.159,0.0,1.1602,0.12,,INSUFFICIENT,2026-09-21T11:06:01+00:00,SOL,A,538,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.85,0.19,1.04,0.0,0.0,0.0,0.0,0.0,1.4225,38.25,1.7352,69.52,1.7886,74.86,1.826,78.6,2026-09-21T11:06:01+00:00,SOL,B,538,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.21,0.9,1.11,0.0,0.0,0.0,0.0,0.0,1.1949,8.49,1.1982,8.82,1.1986,8.86,1.1988,8.88,2026-09-21T11:06:22+00:00,BTC,A,517,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.8,0.28,1.08,0.0,0.0,0.0,0.0,0.0,1.6425,56.25,1.7487,66.87,1.7688,68.88,1.7809,70.09,2026-09-21T11:06:22+00:00,BTC,B,517,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.24,0.99,1.23,0.0,0.0,0.0,0.0,0.0,1.23,0.0,1.23,0.0,1.23,0.0,1.23,0.0,2026-09-21T11:06:22+00:00,ETH,A,517,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.77,0.99,1.76,0.0,0.0,0.0,0.0,0.0,1.76,0.0,1.76,0.0,1.7637,0.37,1.7675,0.75,2026-09-21T11:06:22+00:00,ETH,B,517,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.13,0.999,1.129,0.0,0.0,0.0,0.0,0.0,1.129,0.0,1.129,0.0,1.129,0.0,,INSUFFICIENT,2026-09-21T11:06:22+00:00,SOL,A,517,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.88,0.19,1.07,0.0,0.0,0.0,0.0,0.0,1.4525,38.25,1.7652,69.52,1.8186,74.86,1.8543,78.43,2026-09-21T11:06:22+00:00,SOL,B,517,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.2,0.96,1.16,0.0,0.0,0.0,0.0,0.0,1.1887,2.87,1.1889,2.89,1.189,2.9,1.189,2.9,2026-09-21T11:06:43+00:00,BTC,A,496,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.81,0.23,1.04,0.0,0.0,0.0,0.0,0.0,1.6475,60.75,1.7577,71.77,1.7783,73.83,1.7907,75.07,2026-09-21T11:06:43+00:00,BTC,B,496,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.17,0.999,1.169,0.0,0.0,0.0,0.0,0.0,1.169,0.0,1.172,0.3,1.1755,0.65,,INSUFFICIENT,2026-09-21T11:06:43+00:00,ETH,A,496,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.84,0.99,1.83,0.0,0.0,0.0,0.0,0.0,1.83,0.0,1.83,0.0,1.83,0.0,1.8352,0.52,2026-09-21T11:06:43+00:00,ETH,B,496,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.11,0.999,1.109,0.0,0.0,0.0,0.0,0.0,1.109,0.0,1.109,0.0,1.109,0.0,,INSUFFICIENT,2026-09-21T11:06:43+00:00,SOL,A,496,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.9,0.13,1.03,0.0,0.0,0.0,0.0,0.0,1.4665,43.65,1.784,75.4,1.838,80.8,1.8704,84.04,2026-09-21T11:06:43+00:00,SOL,B,496,KXSOL15M-26SEP210715-15,SOL-UPDOWN-15MIN-260921-1900-1915
0.19,0.96,1.15,0.0,0.0,0.0,0.0,0.0,1.1787,2.87,1.1789,2.89,1.179,2.9,1.179,2.9,2026-09-21T11:07:05+00:00,BTC,A,474,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.82,0.23,1.05,0.0,0.0,0.0,0.0,0.0,1.6575,60.75,1.7677,71.77,1.7883,73.83,1.8007,75.07,2026-09-21T11:07:05+00:00,BTC,B,474,KXBTC15M-26SEP210715-15,BTC-UPDOWN-15MIN-260921-1900-1915
0.17,0.999,1.169,0.0,0.0,0.0,0.0,0.0,1.169,0.0,1.1742,0.52,1.1809,1.19,,INSUFFICIENT,2026-09-21T11:07:05+00:00,ETH,A,474,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
0.84,0.99,1.83,0.0,0.0,0.0,0.0,0.0,1.83,0.0,1.83,0.0,1.83,0.0,1.83,0.0,2026-09-21T11:07:05+00:00,ETH,B,474,KXETH15M-26SEP210715-15,ETH-UPDOWN-15MIN-260921-1900-1915
